trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
sep_ags_shot_trail2,sep_ags_shot,base_trail_smoke,6,0.05,0.1,0.4,12,12,"[200,200,255]","[200,200,255]",0.3,300,5,TRUE,0,3,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_mk4_shot_trail1,sep_mk4_shot,base_trail_smoke,8,0.05,0.2,0.3,8,4,"[255,175,125]","[255,200,175]",0.4,450,8,TRUE,0,3,1,0,TRUE,FALSE,FALSE,10,25,0.2,0,0,15,TRUE,FALSE
sep_mk4_shot_trail2,sep_mk4_shot,base_trail_fuzzy,8,0.1,0.1,0.5,7,3,"[255,190,100]","[255,200,175]",0.2,300,4,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_mk4_shot_trail3,sep_mk4_shot,base_trail_contrail,8,0,0.1,0.6,8,24,"[225,225,225]","[200,200,200]",0.3,300,4,TRUE,0,2,1,0,TRUE,FALSE,TRUE,10,50,0.25,0,0,10,TRUE,TRUE
sep_mk24_shot_trail1,sep_mk24_shot,base_trail_smoke,8,0.05,0.2,0.3,8,4,"[255,175,125]","[255,200,175]",0.4,450,8,TRUE,0,3,1,0,TRUE,FALSE,FALSE,10,25,0.2,0,0,15,TRUE,FALSE
sep_mk24_shot_trail2,sep_mk24_shot,base_trail_fuzzy,8,0.1,0.1,0.5,7,3,"[255,190,100]","[255,200,175]",0.2,300,4,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
sep_mk24_shot_trail3,sep_mk24_shot,base_trail_contrail,8,0,0.1,0.6,8,24,"[225,225,225]","[200,200,200]",0.3,300,4,TRUE,0,2,1,0,TRUE,FALSE,TRUE,10,50,0.25,0,0,10,TRUE,TRUE
sep_mk31_shot_trail1,sep_mk31_shot,base_trail_smoke,8,0.05,0.1,0.5,8,16,"[255,175,175]","[200,150,150]",0.35,300,2,TRUE,0,2,1,0,TRUE,FALSE,FALSE,20,1,0.2,0,0,15,TRUE,FALSE
sep_mk31_shot_trail2,sep_mk31_shot,base_trail_fuzzy,12,0.05,0,0.4,6,4,"[255,100,100]","[200,100,100]",0.25,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
sep_mk34_shot_trail1,sep_mk34_shot,base_trail_smoke,8,0.05,0.2,0.1,6,4,"[225,225,250]","[175,175,200]",0.5,250,2,TRUE,0,2,1,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE
sep_duffie_spinal_shot1,sep_duffie_spinal_shot,base_trail_weave,8,0.05,0.15,0.2,6,2,"[220,20,50]","[220,20,50]",0.4,300,5,TRUE,0,0,1,0,FALSE,FALSE,FALSE,0,10,0.2,0,0,15,TRUE,TRUE
sep_duffie_spinal_shot2,sep_duffie_spinal_shot,base_trail_fuzzy,8,0.1,0.1,0.3,8,4,"[220,40,80]","[220,40,80]",0.25,300,5,TRUE,0,2,1,0,FALSE,FALSE,TRUE,10,20,0.2,0,0,20,TRUE,TRUE
sep_duffie_sub_shot1,sep_duffie_sub_shot,base_trail_smooth,8,0,0.1,0.2,4,2,"[220,20,50]","[220,20,50]",0.4,300,5,TRUE,0,0,1,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drg_plasmacaster_shot_trail,drg_plasmacaster_shot,base_trail_weave,4,0,0.3,0.2,24,18,"[180,40,100]","[160,35,90]",0.6,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_plasmacaster_shot_hidden_trail,drg_plasmacaster_shot_hidden,base_trail_weave,4,0,0.3,0.2,24,18,"[180,40,100]","[160,35,90]",0.6,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_plasmacaster_fighter_shot_trail,drg_plasmacaster_fighter_shot,base_trail_weave,4,0,0.3,0.2,24,18,"[180,40,100]","[160,35,90]",0.6,300,5,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_3pc_shot_trail1,drg_3pc_shot,base_trail_zap,8,0,0.4,0.3,24,22,"[60,20,210]","[50,15,160]",0.75,150,10,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_3pc_shot_trail2,drg_3pc_shot,base_trail_weave,8,0,0.3,0.2,24,18,"[180,40,100]","[160,35,90]",0.5,300,5,TRUE,0,1,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
drg_3pc_shot_trail3,drg_3pc_shot,base_trail_smooth,8,0,0.1,0.4,8,4,"[255,255,255]","[200,200,200]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
drg_3pc_shot_trail4,drg_3pc_shot,base_trail_zapWithCore,10,0,0.1,0.8,18,64,"[90,75,190]","[40,30,80]",0.7,256,-128,TRUE,0,2,1,0,TRUE,FALSE,TRUE,50,300,0.2,0,0,30,TRUE,FALSE
drg_3pc_shot_trail5,drg_3pc_shot,base_trail_zapWithCore,10,0,0.1,0.7,8,4,"[80,80,200]","[225,80,235]",0.5,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,25,120,0.5,0,0,150,TRUE,FALSE
drg_3pcm_shot_trail1,drg_3pcm_shot,base_trail_zap,8,0,0.4,0.3,18,16,"[60,20,210]","[50,15,160]",0.75,150,10,TRUE,0,0,1,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_3pcm_shot_trail2,drg_3pcm_shot,base_trail_weave,8,0,0.3,0.2,18,14,"[180,40,100]","[160,35,90]",0.5,300,5,TRUE,0,1,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
drg_3pcm_shot_trail3,drg_3pcm_shot,base_trail_smooth,8,0,0.1,0.4,8,4,"[255,255,255]","[200,200,200]",0.5,300,5,TRUE,0,0,1,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,TRUE
drg_3pcm_shot_trail4,drg_3pcm_shot,base_trail_zapWithCore,10,0,0.1,0.8,12,48,"[90,75,190]","[40,30,80]",0.7,256,-128,TRUE,0,2,1,0,TRUE,FALSE,TRUE,50,300,0.2,0,0,30,TRUE,FALSE
drg_3pcm_shot_trail5,drg_3pcm_shot,base_trail_zapWithCore,10,0,0.1,0.7,8,4,"[80,80,200]","[225,80,235]",0.5,256,-128,TRUE,5,2,1,0,TRUE,FALSE,TRUE,25,120,0.5,0,0,150,TRUE,FALSE
drg_thunder_shot1,drg_thunder_shot,base_trail_smooth,24,0,0.8,0.3,12,10,"[80,120,255]","[0,40,200]",0.8,256,5,TRUE,-36,0,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE
drg_dazzler_shot1,drg_dazzler_shot,base_trail_rough,4,0,0.2,0.1,8,6,"[10,40,255]","[20,50,255]",0.6,64,0,TRUE,-4,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
drg_dazzler_shot2,drg_dazzler_shot,base_trail_zap,4,0,0.2,0.1,10,8,"[255,255,255]","[20,50,255]",0.5,64,0,TRUE,-4,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
