name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Arke VLS A30-C,sep_vls_med,3,0.5,2000,2000,,300,,25,10,14,30,,,HIGH_EXPLOSIVE,0,,0,0.8,1,,0,0,0,0,,400,25,15,160,,,"STRIKE,USE_VS_FRIGATES,MISSILE_SPREAD,DO_NOT_AIM,IGNORES_FLARES,GROUP_ALTERNATING","strike4,missile11, sep_wep_rare_bp, sepcmdmis",,Separatists,,Anti Armor,Fast,Excellent,,,"Fires %s. Limited number of missiles in flight. If the limit is exceeded for any reason, all command missiles lose guidance. See %s for more details.",Command Missiles|codex,"While in flight, contributes %s point against command missile bandwidth.",1,TRUE,5228
Arke VLS A60-H,sep_vls_med_dumb,3,0.75,2000,1750,,300,,25,10,10,60,,,HIGH_EXPLOSIVE,0,,0,0.8,1,,0,0,0,0,,400,25,10,60,,,"STRIKE,USE_VS_FRIGATES,MISSILE_SPREAD,DO_NOT_AIM,GROUP_ALTERNATING","strike4,missile10, sep_wep_rare_bp,",,Separatists,,Anti Armor,Fast,Good,,,,,,,TRUE,5229
Arke VLS A15-C,sep_vls_small,3,0.5,1250,2000,,300,,25,15,8,15,,,HIGH_EXPLOSIVE,0,,0,0.8,1,,0,0,0,0,,400,25,15,160,,,"STRIKE,USE_VS_FRIGATES,MISSILE_SPREAD,DO_NOT_AIM,IGNORES_FLARES,GROUP_ALTERNATING","strike4,missile11, sep_wep_rare_bp, sepcmdmis",,Separatists,,Anti Armor,Fast,Excellent,,,"Fires %s. Limited number of missiles in flight. If the limit is exceeded for any reason, all command missiles lose guidance. See %s for more details.",Command Missiles|codex,"While in flight, contributes %s point against command missile bandwidth.",1,TRUE,5230
Arke VLS A30-H,sep_vls_small_dumb,2,0.75,1250,1750,,300,,25,15,5,30,,,HIGH_EXPLOSIVE,0,,0,0.8,1,,0,0,0,0,,400,25,10,60,,,"STRIKE,USE_VS_FRIGATES,MISSILE_SPREAD,DO_NOT_AIM,GROUP_ALTERNATING","strike4,missile10, sep_wep_rare_bp,",,Separatists,,Anti Armor,Fast,Good,,,,,,,TRUE,5231
Bowe Command Torpedo Rack,sep_bowe_rack,2,0.5,1000,1500,,800,,40,10,6,4,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,375,150,8,350,,,"STRIKE,IGNORES_FLARES,GROUP_ALTERNATING,DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR","strike7, missile2, sep_wep_rare_bp, reload_2_pt, sepcmdmis, sepcmdtorp",,Separatists,,Torpedo,Fast,Excellent,,,"Fires %s. Limited number of missiles in flight. If the limit is exceeded for any reason, all command missiles lose guidance. See %s for more details.",Command Torpedos|codex,"While in flight, contributes %s points against command missile bandwidth.",2,TRUE,5232
Bowe Command Torpedo,sep_bowe,2,0.5,500,1500,,800,,40,10,2,2,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,0,,375,150,8,350,,,"STRIKE,IGNORES_FLARES,GROUP_ALTERNATING,DO_NOT_AIM, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR","strike7, missile2, sep_wep_rare_bp, reload_2_pt, sepcmdmis, sepcmdtorp",,Separatists,,Torpedo,Fast,Excellent,,,"Fires %s. Limited number of missiles in flight. If the limit is exceeded for any reason, all command missiles lose guidance. See %s for more details.",Command Torpedos|codex,"While in flight, contributes %s points against command missile bandwidth.",2,TRUE,5233
Bowe Command Torpedo (Fighter),sep_bowe_fighter,2,0.5,,1200,,500,,40,10,0,1,,,HIGH_EXPLOSIVE,0,,0,2,1,,0,0,0,0,,375,150,8,300,,,"SYSTEM,STRIKE,IGNORES_FLARES,GROUP_ALTERNATING","strike7, missile2, reload_2_pt, sepcmdmis, show_in_codex",,Separatists,,Torpedo (Fighter),Fast,Excellent,,,,,,,TRUE,5234
Type 1 Cruise Missile Rack,sep_type1_cruise_med,1,0.75,1500,2000,,750,,20,15,10,16,,,ENERGY,0,,0,9.5,2,0.5,0,0,0,0,,600,40,12,200,,,"STRIKE,IGNORES_FLARES","strike8, missile8, sep_wep_bp",,Separatists,,Cruise Missile,Extreme,Awful,,,"After the primary engine fires, the missile's ability to steer is greatly reduced.",,,,TRUE,5235
Type 1 Cruise Missile,sep_type1_cruise_rack,1,0.75,750,2500,,750,,20,30,3,6,,,ENERGY,0,,0,5,1,,0,0,0,0,,600,40,12,200,,,"STRIKE,IGNORES_FLARES","strike6, missile6, sep_wep_bp, reload_2pt",,Separatists,,Cruise Missile,Extreme,Awful,,,"After the primary engine fires, the missile's ability to steer is greatly reduced.",,,,TRUE,5236
Type 1 Cruise Missile (Single),sep_type1_cruise,1,0.75,500,2500,,750,,20,30,1,2,,,ENERGY,0,,0,5,1,,0,0,0,0,,600,40,12,200,,,"STRIKE,IGNORES_FLARES","strike6, missile5, sep_wep_bp, reload_2pt",,Separatists,,Cruise Missile,Extreme,Awful,,,"After the primary engine fires, the missile's ability to steer is greatly reduced.",,,,TRUE,5237
Type 1 Cruise Missile (Fighter),sep_type1_cruise_fighter,1,,,2000,,350,,20,45,0,1,0.02,1,ENERGY,0,,0,1,1,,0,0,0,0,,500,40,12,150,,,"SYSTEM,STRIKE,IGNORES_FLARES","strike6, missile5, sep_wep_bp, reload_2pt, show_in_codex",,Separatists,,Cruise Missile (Fighter),Extreme,Poor,,,"After the primary engine fires, the missile's ability to steer is greatly reduced.",,,,TRUE,5238
Gator Heatseeker Rack,sep_gator_launcher_med,1,,1000,1500,,150,,6,45,8,120,,,HIGH_EXPLOSIVE,0,,0,4.05,4,0.15,0,0,0,0,,450,100,5,75,,,"GUIDED_POOR,ANTI_FTR,DO_NOT_CONSERVE","utility9, missile4, sep_wep_bp",,Separatists,,Anti Small Craft,Fast,Good,,,,,,,TRUE,5239
Gator Heatseeker,sep_gator_launcher,1,,500,1500,,150,,6,45,3,60,,,HIGH_EXPLOSIVE,0,,0,4,2,0.3,0,0,0,0,,450,100,5,75,,,"GUIDED_POOR,ANTI_FTR,DO_NOT_CONSERVE","utility9, missile4, sep_wep_bp",,Separatists,,Anti Small Craft,Fast,Good,,,,,,,TRUE,5240
Gator Heatseeker (Fighter),sep_gator_launcher_fighter,1,,,1000,,125,,6,45,0,4,0.033,2,HIGH_EXPLOSIVE,0,,0,4,2,0.3,0,0,0,0,,450,100,5,75,,,"GUIDED_POOR,ANTI_FTR,SYSTEM,DO_NOT_CONSERVE","utility9,missile2,show_in_codex,no_sell,no_dealer,no_drop_salvage",,Separatists,,Anti Small Craft (Fighter),Fast,Good,,,,,,,TRUE,5241
Kessler SRM,sep_kessler,0,,1000,1000,,40,15,2,45,9,48,0.5,6,ENERGY,0,,0,5.45,12,0.05,12,12,0,0,,400,125,5,40,,,"ANTI_FTR,DO_NOT_AIM,DO_NOT_CONSERVE","utility8, missile2, sep_wep_rare_bp",,Separatists,,General,Fast,Good,,,,,,,TRUE,5242
Shockwave Rocket Launcher,sep_shockwave,2,,1250,1500,,300,,15,20,8,36,,,HIGH_EXPLOSIVE,0,,0,1.25,1,,2,2,0,1,,600,250,4,125,,,"STRIKE,USE_VS_FRIGATES","strike7, rocket6, sep_wep_bp",,Separatists,,Pressure,Fast,None,,,,,,,,5243
Shockwave Rocket Rack,sep_shockwave_small,2,,750,1500,,300,,15,20,4,12,,,HIGH_EXPLOSIVE,0,,0,2.5,2,0.5,2,2,0,1,,600,250,4,125,,,STRIKE,"strike6, rocket4, sep_wep_bp",,Separatists,,Pressure,Fast,None,,,,,,,TRUE,5244
Shockwave Rocket Rack (Fighter),sep_shockwave_fighter,2,,,1200,,200,,15,20,0,2,,,HIGH_EXPLOSIVE,0,,0,2,2,0.5,2,2,0,1,,600,250,3,125,,,"STRIKE, SYSTEM","show_in_codex,no_sell,no_dealer,no_drop_salvage",,Separatists,,Strike (Fighter),Fast,None,,,,,,,TRUE,5245
Canister Cannon (Fighter),sep_canister_fighter,1,,,450,,100,,20,12,0,,,,FRAGMENTATION,20,,0,4,3,0.3,10,20,5,5,,600,,,100,,,"PD,PD_ALSO,ANTI_FTR,SYSTEM","no_sell,no_dealer,no_drop_salvage",,Separatists,,Anti Fighter (Area),,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.

Will target missiles if no other targets are in range.",,,,,
Eclipse Jammer,sep_eclipse,1,,2500,550,50,,,0,200,8,,,,ENERGY,,600,0.25,0.25,0.5,0,,,,,1000000,,,,,,,FIRE_WHEN_INEFFICIENT,"beam8, sep_wep_rare_bp",,Separatists,,Suppression,,,,,Continuously inflicts the %s status effect.,Jammed,,,,
Eclipse Jammer (Fighter),sep_eclipse_fighter,1,,,600,25,,,0,200,0,,,,ENERGY,,100,0.25,0.25,0.25,0,,,,,1000000,,,,,,,"FIRE_WHEN_INEFFICIENT, SYSTEM","no_sell, no_drop, no_drop_salvage",,Separatists,,Suppression (Fighter),,,,,Continuously inflicts the %s status effect.,Jammed,,,,
Andross Intercept,sep_andross_missile,5,,,1500,,500,,20,5,0,,,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,350,1,7.5,200,,,"SYSTEM,DO_NOT_AIM","strike10,no_sell,no_dealer,no_drop_salvage,codex_unlockable",,Separatists,,,,,,,,,,,,
Thermal Welder,sep_repairbeam,5,,,450,1,,1,0,60,0,,,,FRAGMENTATION,,45,0.1,0.1,,,,,,,5000,,,,,,,"FIRE_WHEN_INEFFICIENT, SYSTEM","no_sell,no_dealer,no_drop_salvage,show_in_codex",,Separatists,,Support,,,,,"Repairs up to %s of armor of targeted ship, relative to the most damage the target has taken.",20%,,,,
#buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#duskgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dazzler,drg_dazzler,1,,500,450,,20,5,2,45,5,,,,ENERGY,20,,0,0.1,1,,1,18,0.3,5,,10000,,,5,,,"PD, PD_ALSO, ANTI_FTR","energy9,pd7,drp_wep_bp,SR",,Dusk Group,,General,,,,,,,,,,5300
Arc Catalyzer,drg_electrocat,1,,500,550,,33,,10,30,5,,,,ENERGY,27,,0.04,0.24,1,,5,15,0.5,5,,450,,,50,,,,"energy8, drg_wep_bp",,Dusk Group,,General,,,,,Deals %s extra high explosive damage on hit.,5,,,,5301
Plasma Caster,drg_plasmacaster,2,0.75,1000,1000,,600,,20,15,6,,,,HIGH_EXPLOSIVE,700,,0.5,7,1,,0,0,0,0,,200,200,5.1,400,,,"STRIKE,USE_VS_FRIGATES,IGNORES_FLARES,GUIDED_POOR,DO_NOT_CONSERVE","missile8,he10,LR,drg_wep_bp",,Dusk Group,,Anti Armor,Slow,Medium,,,"When mounted in an %s slot, projectile moves %s as fast and becomes %s.",Energy|twice|unguided,,,,5302
Plasma Caster (Hidden),drg_plasmacaster_hidden,2,0.75,,1000,,600,,20,15,0,,,,HIGH_EXPLOSIVE,700,,0.5,7,1,,0,0,0,0,,400,400,2.5,400,,,SYSTEM,"missile8,he10,LR,no_sell, no_drop, no_drop_salvage",,Dusk Group,,Anti Armor,Slow,Medium,,,"When mounted in an %s slot, projectile moves %s as fast and becomes %s.",Energy|twice|unguided,,,,5303
Plasma Caster (Fighter),drg_plasmacaster_fighter,2,0.75,,800,,500,,20,15,0,2,,,HIGH_EXPLOSIVE,0,,0.5,3,1,,0,0,0,0,,200,200,4.2,400,,,SYSTEM,"missile8,he10,LR,no_sell, no_drop, no_drop_salvage",,Dusk Group,,Anti Armor,Slow,Medium,,,,,,,,5304
Cascade Repeater,drg_cascade,2,,1000,650,800,,,1,30,12,60,3,8,ENERGY,,900,0,0.05,0.1,0,,,,,1000000,,,,,,,,"energy12,beam13,SR,duskgroup,drg_wep_bp",,Dusk Group,,Assault,,,,,,,,,,5305
Demonstar,drg_demonstar,1,,1500,600,,100,,15,20,11,30,2.5,30,HIGH_EXPLOSIVE,140,,0.25,0.25,2,0.5,5,30,5,45,,425,,,50,,,,"energy10, drg_wep_bp",,Dusk Group,,Anti Armor,,,,,"Per individual salvo: for %s burst after the %s, fire %s accurate %s blaster shot(s), up to %s total.",each|first|1|Kinetic|5,,,,5306
Zeus,drg_thunder,2,0.5,3000,550,,250,,1,20,15,5,0.1,1,KINETIC,600,,3,2,1,,0,0,0,0,,1200,,,20,,,"FIRE_WHEN_INEFFICIENT,CONSERVE_FOR_ANTI_ARMOR","energy12,SR,no_sell, no_drop, no_drop_salvage",,Dusk Group,,Disabling,,,,,"On hull impact, discharges an intense electrical bolt, causing an %s for %s seconds.",Electrical Overload|5,,,,5307
3PC-M,drg_3pcm,2,,2000,700,,700,100,30,15,12,,,,ENERGY,900,,2.6,3.4,1,,0,3,3,3,,850,,,100,,,"STRIKE,USE_VS_FRIGATES","energy13,drg_wep_bp",,Dusk Group,,Strike,,,,,"Explodes on impact, dealing an extra %s damage.",100 Kinetic,,,,5308
3PC,drg_3pc,3,0.6,3000,800,,900,200,40,10,20,,,,ENERGY,1000,,2.9,5.9,2,0.2,0,3,3,3,,900,,,100,,,"STRIKE,USE_VS_FRIGATES,IMPORTANT","energy17,rare_bp",,Dusk Group,,Strike,,,,,"Explodes on impact, dealing an extra %s damage.",100 Kinetic,,,,5309
Light Obelisk,drg_needle_small,3,0.8,1500,1200,,300,,50,10,6,10,,,KINETIC,100,,0.2,3.6,2,0.2,0,0,0,0,,350,100,8,300,,,"STRIKE,USE_VS_FRIGATES,IGNORES_FLARES,GROUP_ALTERNATING, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR","strike4,missile5,drg_wep_bp",,Dusk Group,,Strike,Medium,Poor,,,"Explodes after a short delay, dealing %s %s damage. If %s or more needles attach at the same time, they will instead deal %s %s damage.",300 | Kinetic | 3 | 400 | Energy,,,,5310
Obelisk,drg_needle_med,3,0.7,2000,1200,,300,,50,10,11,30,,,KINETIC,100,,0.2,5.9,3,0.2,0,0,0,0,,350,100,8,300,,,"STRIKE,USE_VS_FRIGATES,IGNORES_FLARES,GROUP_ALTERNATING, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR","strike6,missile5,drg_wep_bp",,Dusk Group,,Strike,Medium,Poor,,,"Explodes after a short delay, dealing %s %s damage. If %s or more needles attach at the same time, they will instead deal %s %s damage.",300 | Kinetic | 3 | 400 | Energy,,,,5311
Heavy Obelisk,drg_needle_big,3,0.5,3500,1200,,300,,50,10,20,50,,,KINETIC,100,,0.2,8,5,0.2,0,0,0,0,,350,100,8,300,,,"STRIKE,USE_VS_FRIGATES,IGNORES_FLARES,GROUP_ALTERNATING, CONSERVE_ALL, CONSERVE_FOR_ANTI_ARMOR","strike7,missile5,rare_bp",,Dusk Group,,Strike,Medium,Poor,,,"Explodes after a short delay, dealing %s %s damage. If %s or more needles attach at the same time, they will instead deal %s %s damage.",300 | Kinetic | 3 | 400 | Energy,,,,5312
Cryonic Harmonizer,drg_cryobeam,5,,,600,500,,100,0,15,0,,,,ENERGY,,500,1,0.75,,,,,,,2000,,,,,,,"FIRE_WHEN_INEFFICIENT,SYSTEM","no_sell, no_drop, no_drop_salvage, show_in_codex",,Dusk Group,,Suppression,,,,,Continuously inflicts the %s status effect.,Cryogenic Freeze,,,,5313
Cryogenic Emitter,drg_cryogenicemitter,5,,,450,,20,20,,,0,,,,ENERGY,0,0,0,0.1,15,0.05,45,45,0,0,,500,600,0.75,1,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,Dusk Group,,,,,,,,,,,,5314
Sword of Moloch,drg_seraphmain,5,,,550,3874,,,0,15,0,,,,ENERGY,,2250,5.65,0.25,0.1,9,,,,,10000,,,,,,,"SYSTEM, DANGEROUS, STRIKE, USE_VS_FRIGATES","no_sell, no_drop, no_drop_salvage, codex_unlockable",,Dusk Group,,Strike,,,Fixed,,"Upon reaching full charge, deals %s and %s damage spread evenly across the entire beam, which %s impacts a ship's hull, even if phased.",8000 High Explosive|Emp|ALWAYS,,,,5315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nanite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanite Corrupter,nanite_corrupter,5,,,800,,200,400,0,30,0,,,,HIGH_EXPLOSIVE,1000,,1,30,1,,0,0,0,0,,1600,,,100,,,"FIRE_WHEN_INEFFICIENT,DANGEROUS,STRIKE,USE_VS_FRIGATES,GROUP_ALTERNATING","no_sell, no_drop, no_drop_salvage, codex_unlockable",,Nanite,,Disabling,,,,,"Infects target ship with nanites, %s and leading to %s and potential %s.",damaging armor|impaired function|loss of agency,Generates %s flux per second while active,200,,5400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#decoratives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andross Glow,sep_glow_andross,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
