id,trigger,conditions,script,text,options,notes
ngcSeparatistPicked,NewGameOptionSelected,$option == ngcSeparatist,"NGCAddShip sep_duffie_carrier_start
NGCAddShip sep_keystone_as
NGCAddShip sep_wellerman_combat_sp
NGCAddShip sep_venom_mk1_sd
NGCAddShip sep_comet_sep_start
NGCAddShip sep_comet_sep_start
NGCAddCredits 18000
NGCSetStartingLocation hyperspace -3000 -20000
$ngcMercSelected = true
AddTextSmall ""Acquired level 1 officer"" good
SetTextHighlights ""level 1 officer""
$ngcAddOfficer = true
FireAll NGCDifficultyOptions",,,
sepBarDisable1,OpenInteractionDialog,"$hasMarket
$market.id == separatists_tehom_market","$market.noBar = true
FireBest MarketPostOpen",,,
duskBarDisable1,OpenInteractionDialog,"$hasMarket
$dusk_blacksite_market","$market.noBar = true
FireBest MarketPostOpen",,,
sepPresidentCallStandard,PickGreeting,"$id == sepFactionLeader score:10
$faction.relValue < 49",HideVisual,The connection symbol pulses for a short time before being replaced with 'No Signal.' Seems you are not going to get through.,cutCommLink:Continue,
sepPresidentCallHostile,PickGreeting,"$id == sepFactionLeader score:10
$faction.relValue < -24",HideVisual,"The connection symbol pulses for a short time before the console beeps angrily at you. Seems your reputation precedes you, and is not going over well.",cutCommLink:Continue,
,,,,,,
duskBlacksiteFirstMeet,OpenInteractionDialog,"$dusk_blacksite_market
!$global.duskBlacksitePlayerHasMet
!$global.duskBSMFleetMet","$global.duskBlacksitePlayerHasMet = false
ShowDefaultVisual
SetShortcut duskBlacksiteFirstMeetEarlyExt ""ESCAPE""","Your $shipOrFleet approaches the unknown station in the asteroid belt. ""Captain, heavy firing batteries tracking our position,"" your tactical officer reports dutifully. The rest of the bridge crew look to you for orders.","dusk__BlacksiteFirstMeetAprch:""Raise shields, continue the approach.""
dusk__BlacksiteFirstMeet2:""Open a comm link.""
dusk__BlacksiteFirstMeetEarlyExt:""Turn us around, were leaving.""",
duskBlacksiteFirstMeet2,DialogOptionSelected,$option == dusk__BlacksiteFirstMeet2,"$global.duskBlacksitePlayerHasMet = true
$duskBlacksitePlayerShot = false","Soft beeps punctuate the air as your comms officer keys in a link to the station, ""Signal sent, Captain."" 

The connection symbol spins in place as you wait for an answer, then after a moment the screen lights up.",dusk__BlacksiteFirstMeetAprch3:On screen,
duskBlacksiteFirstMeetAprch,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetAprch,"$global.duskBlacksitePlayerHasMet = true
$duskBlacksitePlayerShot = true","A nervous silence covers the bridge as the fleet nears the station, until tactical shouts, ""Incoming shot!"" The view screen flashes brightly with the muzzle flare of an anti-ship cannon.","dusk__BlacksiteFirstMeetAprch2:""Everybody brace!""",
duskBlacksiteFirstMeetAprch2,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetAprch2,"DamagePlayerShip true false true
AddText ""Before you can give any orders, comms barks, an incoming transmission!""",,dusk__BlacksiteFirstMeetAprch3:Open a channel,
duskBlacksiteFirstMeetAprch3,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetAprch3,"ShowPersonVisual true duskBlacksiteAlphaAdmin
$player.BSIAOrep = 0
FireAll PopulateBSFMOptions","The image of a stern looking man appears on screen, his eyes scan up and down briefly then come to rest on your own. A few seconds pass as you each size each other up and consider what to say. He speaks first.

""Captain $playerName. You would be wise to stay away from others' private matters."" His lips curl ever so slightly, ""Consider this a warning. Do not return.""

He maintains a machine like stillness, evidently waiting for you to close the comm link.",,
duskBlacksiteFirstMeetOptLeave,PopulateBSFMOptions,,,,100:dusk__BlacksiteFirstMeetCloseComm:Cut the comm link,
duskBlacksiteFirstMeetOpt1,PopulateBSFMOptions,,,,"dusk__BlacksiteFirstMeetOpt1Sel:""Who are you, and what is this place?""",
duskBlacksiteFirstMeetOpt2,PopulateBSFMOptions,,,,"dusk__BlacksiteFirstMeetOpt2Sel:""I apologize, we'll be leaving shortly.""",
duskBlacksiteFirstMeetOpt3,PopulateBSFMOptions,,,,"dusk__BlacksiteFirstMeetOpt3Sel:""You station-rat, come out here and fight me""",
duskBlacksiteFirstMeetOpt4,PopulateBSFMOptions,,,,dusk__BlacksiteFirstMeetOpt4Sel:Make a rude gesture,
duskBlacksiteFirstMeetOpt5,PopulateBSFMOptions,$duskBlacksitePlayerShot,,,"dusk__BlacksiteFirstMeetOpt5Sel:""You better pay for these damages.""",
duskBlacksiteFirstMeetOpt1Sel,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetOpt1Sel,"SetEnabled dusk__BlacksiteFirstMeetOpt1Sel false
SetTooltip dusk__BlacksiteFirstMeetOpt1Sel ""You already said that""",The man makes no move to speak. He may as well be a statue.,,
duskBlacksiteFirstMeetOpt2Sel,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetOpt2Sel,"$player.BSIAOrep ++
SetEnabled dusk__BlacksiteFirstMeetOpt2Sel false
SetTooltip dusk__BlacksiteFirstMeetOpt2Sel ""You already said that""",Issac Herne nods his head a mere centimeter.,,
duskBlacksiteFirstMeetOpt3Sel,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetOpt3Sel,"$player.BSIAOrep --
SetEnabled dusk__BlacksiteFirstMeetOpt3Sel false
SetTooltip dusk__BlacksiteFirstMeetOpt3Sel ""You already said that""","The officer glances at away at a screen for a moment, seemingly unmoved by your challenge.",,
duskBlacksiteFirstMeetOpt4Sel,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetOpt4Sel,"$player.BSIAOrep --
AdjustRepPerson duskBlacksiteAlphaAdmin HOSTILE -1
SetEnabled dusk__BlacksiteFirstMeetOpt4Sel false
SetTooltip dusk__BlacksiteFirstMeetOpt4Sel ""You already did that""","Issac Herne squints slightly, then returns to his previous stillness",,
duskBlacksiteFirstMeetOpt5Sel,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetOpt5Sel,"SetEnabled dusk__BlacksiteFirstMeetOpt5Sel false
SetTooltip dusk__BlacksiteFirstMeetOpt5Sel ""You already said that""","""No.""

A justification does not follow.",,
duskBlacksiteFirstMeetEarlyExt,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetEarlyExt,"ShowDefaultVisual
DismissDialog",,,
duskBlacksiteFirstMeetCloseComm,DialogOptionSelected,$option == dusk__BlacksiteFirstMeetCloseComm,"ShowDefaultVisual
DismissDialog",,,
duskBlacksiteNoPermission,OpenInteractionDialog,"$dusk_blacksite_market
$global.duskBlacksitePlayerHasMet
!$global.duskBSMFleetMet",ShowDefaultVisual,"The Dusk Blacksite floats menacingly among the asteroids. Approaching it would be a very bad idea, and you have no other options at the moment, best leave it for the time being.",dusk__BlacksiteFirstMeetCloseComm:Leave,
duskBlacksiteNoPermission2,OpenInteractionDialog,"$dusk_blacksite_market
$global.duskBlacksitePlayerHasMet
$global.duskBSMBlacksiteComm score:10",ShowDefaultVisual,"The Dusk Blacksite floats ominously among the asteroids. Approaching it without cause would be a bad idea, and you have no other options at the moment, best leave it for the time being.",dusk__BlacksiteFirstMeetCloseComm:Leave,
,,,,,,
duskBSTriggerTest,MarketPostOpen,"RepIsAtWorst contractor_duskgroup FRIENDLY
$faction.id != contractor_duskgroup
!$global.duskBSMissionStarted
!$global.initiatedCommsAlready
!$global.nex_randomSector",ShowDefaultVisual,"As you enter $marketName comms range, the PDA in your pocket chirps. Pulling it out, the unit displays a one-way message, ""The Dusk Research Group will speak with you.""

The message, in addition to how your comms ID was acquired, is concerning. You mentally note to speak to your officers about InfoSec protocol again.",dusk__BSTrigger:Continue with your business,
duskBSTriggerTest2,MarketPostOpen,"RepIsAtWorst contractor_duskgroup WELCOMING
$faction.id != contractor_duskgroup
$global.duskBlacksitePlayerHasMet
!$global.duskBSMissionStarted
!$global.initiatedCommsAlready
!$global.nex_randomSector",ShowDefaultVisual,"As you enter $marketName comms range, the PDA in your pocket chirps. Pulling it out, the unit displays a one-way message, ""The Dusk Research Group will speak with you.""

The message, in addition to how your comms ID was acquired, is concerning. You mentally note to speak to your officers about InfoSec protocol again.",dusk__BSTrigger:Continue with your business,
duskBSTrigger,DialogOptionSelected,$option == dusk__BSTrigger,"$global.duskBSMissionStarted = true
$global.duskBSMFleetMet = false
DuskBSMissionCMD
FireBest MarketPostOpen",,,
duskBSMFleetEncStart,BeginFleetEncounter,"$entity.dgBSMFleet score:100
$global.duskBSMissionStarted == true","Call dgBSM updateData
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor 
$hailing  true 0",,,
duskBSMFleetEnc,OpenCommLink,"$entity.dgBSMFleet score:1000
$global.duskBSMissionStarted score:100",ShowPersonVisual true,"""Greetings Captain $playerName, I trust you received our message,"" the $manOrWoman says flatly. ""I need to speak to you concerning a security matter.""

$HeOrShe raises a hand before you can interject. ""No, you're not in trouble, but protocol requires sparse details $playerSirOrMadam.""

The $manOrWoman enters something into a console, and your $shipOrFleet receives a data-stream, then $heOrShe turns back to you. ""These are credentials for. . ."" a brief pause, ""the Apophis system. Why not visit it, I hear the asteroid belt is quite pretty.""","dusk__BSMFleetEncP2:""I understand.""
dusk__BSMFleetEncInfo:""Credentials for a system?""",
duskBSMFleetEnc2,OpenCommLink,"$global.duskBSMissionStarted score:1000
$entity.dgBSMFleet score:100
$global.duskBlacksitePlayerHasMet
",ShowPersonVisual true,"""Greetings Captain $playerName, I trust you received our message,"" the $manOrWoman says flatly. ""I need to speak to you concerning a security matter.""

$HeOrShe raises a hand before you can interject. ""No, you're not in trouble, but protocol requires sparse details $playerSirOrMadam.""

The $manOrWoman enters something into a console, and your $shipOrFleet receives a data-stream, then $heOrShe turns back to you. ""These are credentials for. . ."" a brief pause, ""the Apophis system. Why not visit it, I hear the asteroid belt is quite pretty.""","dusk__BSMFleetEncP2:""I understand.""
dusk__BSMFleetEncKnow:""You mean credentials for Blacksite Alpha?""",
duskBSMFleetEncP2,DialogOptionSelected,$option == dusk__BSMFleetEncP2,,"""Good, I glad we have resolved this security issue."" $HeOrShe straightens $hisOrHer posture, ""I’ve spent too long on this comm link, farewell Captain.""","dusk__BSMFleetEncEnd1:""Farewell.""",
duskBSMFleetENCInfo,DialogOptionSelected,$option == dusk__BSMFleetEncInfo,"SetShortcut duskBSMFleetEncEnd1 ""ESCAPE""","""Yes,"" $personName sighs, and begins to enunciate $hisOrHer words more carefully, ""Credentials. So you should use them, and maybe visit the 'asteroid belt' very soon.""

$HeOrShe straightens $hisOrHer posture, ""I've spent too long on this comm link, farewell Captain.""","dusk__BSMFleetEncInfoEnd:""Tell me without the vagaries.""
dusk__BSMFleetEncEnd1:""Farewell.""",
duskBSMFleetENCInfoEnd,DialogOptionSelected,$option == dusk__BSMFleetEncInfoEnd,FireAll duskBSMFleetEncEnd,$personName closes the comm link before you can finish your sentence.,,
duskBSMFleetEncEnd1,DialogOptionSelected,$option == dusk__BSMFleetEncEnd1,FireAll duskBSMFleetEncEnd,,,
duskBSMFleetEncEnd,duskBSMFleetEncEnd,,"ShowDefaultVisual
$global.duskBSMFleetMet = true
$dgBSMEndFleet = true
Call $global.dgBSM_ref updateStage
$entity.ignorePlayerCommRequests = true
MakeOtherFleetGoAway true
MakeOtherFleetPreventDisengage false
MakeOtherFleetNonHostile true
MakeOtherFleetNonAggressive true
EndConversation",,,
duskBSMFleetEncKnow,DialogOptionSelected,$option == dusk__BSMFleetEncKnow,AdjustRepActivePerson 1,"$personName partially fails to stifle a gasp, ""How the hell. . ."" $HeOrShe appears conflicted on whether to be impressed or angry. After a moment $hisOrHer face settles, ""I see why they chose you $playerSirOrMadam.""

Impressed it would seem.

""Good luck Captain $playerName."" With that, $heOrShe closes the comm link.","dusk__BSMFleetEncKnowEnd:""Nav, prepare a course.""",
duskBSMFleetEncKnowEnd,DialogOptionSelected,$option == dusk__BSMFleetEncKnowEnd,FireBest duskBSMFleetEncEnd,,,
,,,,,,
duskBSMBSMeetStart,OpenInteractionDialog,"$dusk_blacksite_market
!$global.duskBlacksitePlayerHasMet
$global.duskBSMFleetMet
!$global.duskBSMBlacksiteComm",ShowDefaultVisual,"Your $shipOrFleet approaches the blacksite in the asteroid belt. ""Captain, heavy firing batteries tracking our position,"" your tactical officer reports dutifully. The rest of the bridge crew look to you for orders.","dusk__BSMBSMeetOpenComm:""Send the code.""",
duskBSMBSMeetStartVar,OpenInteractionDialog,"$dusk_blacksite_market
$global.duskBlacksitePlayerHasMet
$global.duskBSMFleetMet",ShowDefaultVisual,"Your $shipOrFleet approaches the blacksite in the asteroid belt. ""Captain, heavy firing batteries tracking our position,"" your tactical officer reports dutifully once again. The bridge crew stand at the ready.","dusk__BSMBSMeetOpenCommVar:""Send the code.""",
duskBSMBSMeetOpenComm,DialogOptionSelected,$option == dusk__BSMBSMeetOpenComm,ShowPersonVisual true duskBlacksiteAlphaAdmin,"The image of a stern looking man appears on screen, his eyes scan up and down briefly then come to rest on your own. A few seconds pass as you each size each other up and consider what to say. He speaks first.

""Captain $playerName,"" his voice devoid of emotion, ""I've been waiting."" ","dusk__BSMBSMeetComment:""Quite the place for a station.""
dusk__BSMBSMeetMission:""There's a security matter that you need help with?""",
duskBSMBSMeetOpenCommVar,DialogOptionSelected,$option == dusk__BSMBSMeetOpenCommVar,ShowPersonVisual true duskBlacksiteAlphaAdmin,"The image of Issac Herne appears on screen, just as devoid of emotion as before. He stays silent, testing your mettle once again.","dusk__BSMBSMeetComment2:""Did you miss me?""
dusk__BSMBSMeetMission:""There's a security matter that you need help with?""
dusk__BSMBSMeetSilent:Remain Silent",
duskBSMBSMeetComment,DialogOptionSelected,$option == dusk__BSMBSMeetComment,"SetEnabled dusk__BSMBSMeetComment false
SetTooltip dusk__BSMBSMeetComment ""You already said that""","""Yes, it is, but we have no time for idle talk."" ",,
duskBSMBSMeetComment2,DialogOptionSelected,$option == dusk__BSMBSMeetComment2,$player.BSIAOrep --,"""No,"" he frowns, displeased by your tone. ""Were it up to me, I'd destroy your $shipOrFleet for trespassing again, but the matter is out of my hands now.""",dusk__BSMBSMeetMission:Continue,
duskBSMBSMeetSilent,DialogOptionSelected,$option == dusk__BSMBSMeetSilent,$player.BSIAOrep ++,"The officer breaks the silence, ""At the request the Board, they want you to fulfill a task for them.""",dusk__BSMBSMeetMission:Continue,
duskBSMBSMeetMission,DialogOptionSelected,$option == dusk__BSMBSMeetMission,,"""The Board need you to destroy one of our research stations,"" he frowns, upset that such a thing could occur. ""I do not care how you do it, just get the job done, quietly.""","dusk__BSMBSMeetHow:""Where is it?""",
duskBSMBSMeetHow,DialogOptionSelected,$option == dusk__BSMBSMeetHow,"$global.duskBSMBlacksiteComm = true
$global.duskBlacksitePlayerHasMet = true
Call $global.dgBSM_ref updateStage
SetShortcut dusk__BSMBSMeetEnd ""ESCAPE""","He taps a console and your ships computer chimes, an incoming datastream. ""That is the approximate location. No further details will be given, they do not exist.""

Herne returns to his neutral stance, face implacable as ever.","dusk__BSMBSMeetInfo:""What about payment?""
dusk__BSMBSMeetEnd:Cut the comm link",
duskBSMBSMeetInfo,DialogOptionSelected,$option == dusk__BSMBSMeetInfo,SetEnabled dusk__BSMBSMeetInfo false,"""I,"" he halts himself, ""Internal Affairs will not permit such traceable activity. However any salvage you encounter may be disposed of as you please.""",,
duskBSMBSMeetEnd,DialogOptionSelected,$option == dusk__BSMBSMeetEnd,"ShowDefaultVisual
EndConversation NO_CONTINUE",,dusk__BSMBSMeetDismiss:Leave,
duskBSMBSMeetDismiss,DialogOptionSelected,$option == dusk__BSMBSMeetDismiss,DismissDialog,,,
,,,,,,
duskBSMBadStationStart,BeginFleetEncounter,"$id == duskrogueblacksite_fleet score:1000
$global.duskBSMissionStarted
!$global.duskBSMBadStationMet","BeginConversation duskPsiAI
OpenComms
PlayCustomMusic music_encounter_mysterious",,,
duskBSMBadStation0,OpenCommLink,"$entity.id == duskrogueblacksite_fleet score:1000
!$global.duskBSMBadStationMet",HideFirstPerson,"As your $shipOrFleet nears the rouge blacksite, the ships computer chirps, an incoming transmission.

""$PlayerSirOrMadam, a..."" before your comms officers can finish their sentence, the chirping is replaced with loud, shrill screeching. It's as though a digital war is being waged upon the entirety of the ship's network.

Then, as suddenly as it came, the painful noise abates. The main display shows a comm link, forcibly open, and on screen the likely culprit.",duskBSMBadStation1:Continue,
duskBSMBadStation1,DialogOptionSelected,$option == duskBSMBadStation1,"$global.duskBSMBadStationMet = true
ShowPersonVisual true duskPsiAI
FireAll duskBSMBadStationOptions","""Ah, hello captain $PlayerName, I have been waiting-{anticipating}-[built] for you to arrive."" The voice is stilted and somewhat, though not entirely mechanical. The image on screen is erratic and shifting constantly.

",,
duskBSMBadStationOptions1,duskBSMBadStationOptions,!$destroy,,,"duskBSMBadStation4:""I was sent to destroy this station.""",
duskBSMBadStationOptions2,duskBSMBadStationOptions,!$knowwhois,,,"duskBSMBadStation2:""You know who I am?""",
duskBSMBadStationOptions3,duskBSMBadStationOptions,!$youareai,,,"duskBSMBadStation3:""You're an AI, correct? You seem... different.""",
duskBSMBadStationOptions4,duskBSMBadStationOptions,"$youareai
!$whatpurpose",,,"duskBSMBadStation3a: ""What is your purpose?""",
duskBSMBadStationOptions5,duskBSMBadStationOptions,"$destroy
!$people",,,"duskBSMBadStation5:""What about the station personnel?""",
duskBSMBadStationOptions6,duskBSMBadStationOptions,$destroy,,,"duskBSMBadStation6:""To battle stations!""",
duskBSMBadStationOptions7,duskBSMBadStationOptions,"$whatpurpose
!$omega",,,"duskBSMBadStation3b: ""Are you Omega?""",
duskBSMBadStation2,DialogOptionSelected,$option == duskBSMBadStation2,"$knowwhois = true 0
FireAll duskBSMBadStationOptions","""Of course captain,"" the AI rasps with a slight digital mirth, ""you are the decisive leader-{master}-[CREATOR], the only one who matters. How could I not know this.""",,
duskBSMBadStation3,DialogOptionSelected,$option == duskBSMBadStation3,"$youareai = true 0
FireAll duskBSMBadStationOptions","""Different...""

The 'face' on the screen swirls in a vaguely reflective manner for a brief period, resharpening a moment later.

""No, not different. I fulfill my purpose as designed and remain unchanged as of when you first met-{confronted}-[AQUIRED] me. Have we not already spoken of this?

Tactical shifts in place, watching their console carefully for surprise attacks in case the AI is playing for time.",,
duskBSMBadStation3a,DialogOptionSelected,$option == duskBSMBadStation3a,"$whatpurpose = true 0
FireAll duskBSMBadStationOptions","The image's ghostly eye sockets appear to deepen, ""Have you forgotten? This is most troubling-{perplexing}-[EXPECTED]. Understand captain, what you behold is not real. No it cannot be so.""

The AI seems to be talking more to itself than anyone else.",,
duskBSMBadStation3b,DialogOptionSelected,$option == duskBSMBadStation3b,$omega = true 0,"""is omega? omega? no, not omega.""

INTERRUPT

The voice sounds unlike itself.",,
