id,type,text1,text2,text3,text4,text5,notes
sep_type1_cruise_rack,WEAPON,"A long range and extremely fast missile system, the Type 1 is very difficult to stop once it reaches top speed.

The Type 1 serves as a long range cruise missile, which after a brief programming period locks to its target and engages thrusters. The tracking is not updated actively while in flight and can easily miss quickly strafing targets. As an upside, the missile cannot be distracted by flares.",,,,,
sep_type1_cruise,WEAPON,"A long range and extremely fast missile system, the Type 1 is very difficult to stop once it reaches top speed.

The Type 1 serves as a long range cruise missile, which after a brief programming period locks to its target and engages thrusters. The tracking is not updated actively while in flight and can easily miss quickly strafing targets. As an upside, the missile cannot be distracted by flares.",,,,,
sep_type1_cruise_fighter,WEAPON,"A long range and extremely fast missile system, the Type 1 is very difficult to stop once it reaches top speed.

A smaller, less damaging variant was created to be mountable on common fighter missile pylons. Although somewhat unwieldy for fighter pilots, it can be quite effective when fired en-mass.

The Type 1 serves as a long range cruise missile, which after a brief programming period locks to its target and engages thrusters. The tracking is not updated actively while in flight and can easily miss quickly strafing targets. As an upside, the missile cannot be distracted by flares.",,,,,
sep_gator_launcher_med,WEAPON,"Heatseeking missile with narrow search cone and aggressive tracking. Easily identifiable by its characteristic tail-wag search pattern. Mounted in a side-by-side arrangement for double the firepower. 

The Gator serves as the Separatists prime anti-fighter missile. While its bulky frame means fewer can be carried than other contemporary missiles, the performance more than makes up for it. A narrow search cone allows more focus on the target, and even aids in ignoring flares that might otherwise distract the missile.",,,,,
sep_gator_launcher,WEAPON,"Heatseeking missile with narrow search cone and aggressive tracking. Easily identifiable by its characteristic tail-wag search pattern.

The Gator serves as the Separatists prime anti-fighter missile. While its bulky frame means fewer can be carried than other contemporary missiles, the performance more than makes up for it. A narrow search cone allows more focus on the target, and even aids in ignoring flares that might otherwise distract the missile.",,,,,
sep_gator_launcher_fighter,WEAPON,"Heatseeking missile with narrow search cone and aggressive tracking in a leaner form factor. Easily identifiable by its characteristic tail-wag search pattern.

A slightly smaller version with reduced payload, allowing the missile to retain maneuverability and still be mounted in a fighter payload bay.

The Gator serves as the Separatists prime anti-fighter missile. While its bulky frame means fewer can be carried than other contemporary missiles, the performance more than makes up for it. A narrow search cone allows more focus on the target, and even aids in ignoring flares that might otherwise distract the missile.",,,,,
sep_bowe,WEAPON,"Highly maneuverable torpedo equipped with good thrusters, reinforced shell, and command avionics. The system configuration comes at the expense of payload, which is lighter than other torpedoes in its weight class. Comes with one additional reload in a prepared tube.",,,,,
sep_bowe_rack,WEAPON,"Highly maneuverable torpedo equipped with good thrusters, reinforced shell, and command avionics. The system configuration comes at the expense of payload, which is lighter than other torpedoes in its weight class. Comes in a twin rack for additional ammo, with reduced efficiency.",,,,,
sep_bowe_fighter,WEAPON,"Highly maneuverable torpedo equipped with good thrusters, reinforced shell, and command avionics. The fighter configuration carries an even smaller payload than the full size, but handily fits inside a missile bay.",,,,,
sep_eclipse,WEAPON,"EWAR jammer capable of interfering with the most hardened targeting systems.

Almost comically over sized when compared to hull integrated jammers common in the sector, the Eclipse offers a powerful tool to those needing to reduce enemy targeting effectiveness. 

Despite Separatist engineers best efforts, beam diffusion means jamming is only possible at shorter ranges, often within the firing arcs that need to be jammed in the first place. As a result, the Eclipse is best used in fleet action where a specialized jamming vessel can hamper enemies, while allies engage at safe distance.",,,,,
sep_mk4,WEAPON,"An array of massive cannons that fire heavy shells with a light explosive payload, the Mk4 is an ideal all-rounder weapon capable of dealing with nearly any threat in the sector.

Technologically simple, easy to construct, and powerful in combat, Mk4s' traits have earned them a beloved status by Separatist captains and crew alike. Although the stresses of such large volleys of fire often lead to higher servicing overheads, even maintenance chiefs rest easy under the protective shadow cast by the Mk4.",,,,,
sep_mk55,WEAPON,"Straightforward autocannon firing high velocity AP shells with a small explosive filler. The low caliber results in subpar damage, however the rounds travel quite far quite fast, making the Mk54 ideal for suppressing distant, or quick targets.

Originally designed as a stop gap weapon, the Mk54 found its way into long term service as a low cost support weapon. Its continued use was finally solidified after becoming fully unregulated and is now the go to armament for light trade ships.",,,,,
sep_mk41,WEAPON,"Overclocked weapon system capable of high rates of fire for short periods of time. Although relatively high caliber for its class, the short barrel and low muzzle velocity cause high spread and reduced range, leading the Mk41 to struggle in distant engagements. ",,,,,
sep_mk41_fighter,WEAPON,"Miniaturized weapon system derived from the standard Mk41. While it retains the high fire rate and damage, the low range and projectile spread are even more pronounced.",,,,,
sep_lightcycler,WEAPON,Reliable burst fire cannon with high velocity kinetic shells.,,,,,
sep_shockwave,WEAPON,"Lightweight rocket system designed for sustained fire. The most standout feature is the missile's hypertrophied engine system. Capable of much higher speeds than other weapons in it's class, this does come at the cost of reduced payload. ",,,,,
sep_shockwave_small,WEAPON,"Dual tube rocket launcher, with a modest supply of reloads. Dispenses high speed Shockwave rockets, good for applying pressure or exploiting exposed targets.",,,,,
sep_shockwave_fighter,WEAPON,"A pair of Shockwave rockets, easily mounted in a payload bay or on a missile pylon, ready to deal damage at high speed. ",,,,,
sep_mk38,WEAPON,"Dual mounted cannons derived from the '48, the Mk38 follows the simple adage of 'if it isn't broken, don't fix it.' Minor upgrades have slightly increased the range as well as flux efficiency, but the weapons platform remains otherwise unchanged. Shockingly effective against slow targets.",,,,,
sep_rag,WEAPON,"Primitive from a technological perspective, the RAG uses overwhelming raw firepower to rip apart enemy vessels. That said, although statistically capable of very high damage, the outdated shells tend to perform poorly against modern armor and shield systems.

For one reason or another, Persean Separatists have always had a penchant for high rate-of-fire weapons, and very few symbolize that affinity as well as the Rotary Assault Gun. It's outdated design comes with costs however. The barrel, designed for fire rate, has poor accuracy made yet worse by the low tech targeting system. The shells too, are underwhelming versus current cycle defenses

PSM gunnery officers love it though, and have been known to continuously hold the trigger down in a fight, start to finish.",,,,,
sep_mrag,WEAPON,"""And if that don't work, use more gun.""","- Heavy Assault Gun engineer, attributed",,,,
sep_kessler,WEAPON,"High-tech swarming missiles with a light ionic payload, particularly well suited to defeating small craft. The munitions small size and ease of handling allow for in combat reloading.",,,,,
sep_ags,WEAPON,"Advanced ballistic-coilgun that fires supercharged cells capable of disrupting electronics, and in particular, shields. however, as the shell is essentially a large capacitor and not a hardened bullet, it deals little damage to armor plating.",,,,,
sep_vls_med,WEAPON,"Hull embedded Vertical Launch System containing thirty Type-C command guided cruise missiles, able to be dispensed at a high rate-of-fire. Has a safety interlock to prevent firing missiles when at the ship's command limit.",,,,,
sep_vls_med_dumb,WEAPON,"Hull embedded Vertical Launch System containing sixty Type-H cruise missiles, able to be dispensed at a high rate-of-fire.",,,,,
sep_vls_small,WEAPON,"Hull embedded Vertical Launch System containing fifteen Type-C command guided cruise missiles, able to be dispensed at a high rate-of-fire. Has a safety interlock to prevent firing missiles when at the ship's command limit.",,,,,
sep_vls_small_dumb,WEAPON,"Hull embedded Vertical Launch System containing thirty Type-H cruise missiles, able to be dispensed at a high rate-of-fire.",,,,,
sep_duffie_spinal,WEAPON,"""I'm burning up! I'm burning up!""","- Recovered from unnamed DRG engineer nervelink, FCRG test site [REDACTED]",,,,
sep_termite_heavy,WEAPON,"The Termite fires specialty rounds that pierce targets then explode inside. Originally designed to shatter asteroids, the shells have since proven to be effective against a variety of light craft. The heavy variant has a reinforced barrel and breach, allowing for burst fire and slightly increased range.",,,,,
sep_dirty_nuke,WEAPON,"Self contained nuclear capable tactical missile. The reactive components are securely separated until the moment of detonation, meaning the fission reaction cannot occur until the Matador launches it's payload. Devastating against hull and armor.

[todo: rework] As the Separatist polity grew in size and power, it was inevitable the Hegemony take notice and attempt to stamp out the 'rebels'. The Matador nuclear was made as a desperate attempt to defend the Separatists from the immense threat. ",,,,,
sep_dirty_nuke_small,WEAPON,"Retrofitted Mk4 to fire Matador nuclear shells, with notably smaller payload. The reactive components are securely separated until the moment of detonation, meaning the fission reaction cannot occur until the payload is launched. Devastating against hull and armor.",,,,,
sep_dirty_nuke_payload,WEAPON,"""Tactical nuke! Incoming!""","- Tactical officer Hasper, Battle of New Umbra",,,,
sep_mk31,WEAPON,"Unsung workhorse of the Separatist navy, the Mk31 puts out a reliable stream of high explosive shells without pause.",,,,,
sep_rag_fighter,WEAPON,"Rotary gatling gun designed for terrestrial strafing runs on soft targets. Rather weak against naval class spacecraft in the modern era, relegating it to anti fighter duties.",,,,,
sep_railgun,WEAPON,Heavy railgun supercharged well beyond sensible limits. ,,,,,
sep_mk34,WEAPON,"Set of cannons in a quad barrel arrangment that fires bursting kinetic shells with medium range with decent accuracy. Very reliable, utterly unremarkable.",,,,,
sep_repairbeam,WEAPON,"Specialized welding beam that can fuse damaged armor plating, restoring a small amount of integrity. Thanks to advanced processing and comms, the beam frequency can be synchronized to the target, allowing it pass through shields.",,,,,
sep_mk74,WEAPON,"Lightweight, all purpose cannon, though it is especially good at attacking shields.",,,,,
,,,,,,,
sep_andross_intercept,SHIP_SYSTEM,"Transforms drone into a crude missile using a modified version of the asteroid protection software. Prefers to target objects similar in size to common asteroids, such as fighters.",Special,Transforms drone into a crude missile. Prefers to target smaller objects like fighters.,,Deals {{500 fragmentation}} damage.,
sep_retrograde,SHIP_SYSTEM,"Reroutes and discharges large amounts of thruster fuel out of front facing nozzles, allowing the ship to reposition quickly. Effective both in combat, as well as during asteroid cutting.",Movement,Fires reverse thrusters to reposition ship quickly.,,,
sep_wingsweep,SHIP_SYSTEM,Inertial dampeners and graviton diffusers in the wings can be repositioned to allow the fighter optimal movement depending on the pilot's needs.,Movement,Allows fighter to switch between high speed and high maneuverability modes.,,,
sep_defense_drones,SHIP_SYSTEM,Launches up to three point defense drones to protect the mothership.,Defensive,Launches three point defense drones to protect the mothership.,,"Ship carries {{4}} drones, with {{3}} active at any given time.",
sep_flarelauncher_bomber,SHIP_SYSTEM,"A flare system with an alternate release pattern, slowly releasing flares in a trail instead of all at once. Most effective when used while retreating.",Defensive,"Slowly releases a trail of flares, most useful when retreating.",,,
sep_flarelauncher_ship,SHIP_SYSTEM,"A flare system with an alternate release pattern, slowly releasing flares in a trail instead of all at once. Most effective when used while retreating.",Defensive,"Slowly releases a trail of flares, most useful when retreating.",,,
sep_citadelmode,SHIP_SYSTEM,"Shuts down engines and actively cycles reactor coolant out of engine nozzles, increasing flux dissipation. Extended use can critically drain coolant reserves, causing an emergency shutdown that temporarily disables the ship. ",Defensive,Shuts down engines and boosts flux dissipation. Extended use can cause an overload.,,"Flux dissipation is {{doubled}}. Ship becomes almost {{immobile}}.
If coolant reserve reaches {{0}}, ship will {{overload}}.",
sep_interdictor,SHIP_SYSTEM,"Charges Cathricite crystals causing them to discharge powerful energy bolts, linking the ship and the target together. While actively striking a target, it will be pulled towards the firing ship. The interdictor will suffer reduced speed depending on the mass of the target being pulled. May cause electrical overload when striking hull consistently.",Offensive,"Discharges emp bolts at the target, pulling it toward the ship. May cause electrical overload.",,,
sep_interdictor_pulse,SHIP_SYSTEM,"Charges Cathricite crystals causing them to discharge powerful energy bolts, linking interdictor and target vessels together. This model lacks a resonator, and can only be fired for short periods. While actively striking a target, it will be pulled towards the firing ship. The interdictor will suffer reduced speed depending on the mass of the target being pulled. May cause electrical overload when striking hull consistently.",Offensive,"Discharges emp bolts at the target ship, pulling it toward the interdictor. May cause electrical overload. Limited firing period.",,,
sep_directionalthrusters,SHIP_SYSTEM,"Activates heavy station-keeping thrusters for holding position in gravity wells, and are also capable of boosting ships maneuverability while in space.",Movement,Provides a small but long lasting boost to speed and maneuverability.,,Ships top speed is increased by {{25}}.,
sep_secondaryloader,SHIP_SYSTEM,Secondary magazines and loading systems perform a rapid reload after a brief pause. Auxiliary flux coils will absorb some of the overhead cost to fire the secondary round. Requires a long interval between uses to refill the backup magazines and vent accumulated flux.,Offensive,Reloads ammo of all ballistic or hybrid weapons. Vents a moderate amount of soft flux,,"Reloads all {{ballistic}} or {{hybrid}} weapons after a {{0.4}} second pause.

{{Ballistic}} or {{hybrid}} weapons that use and naturally regenerate ammo gain {{one}} burst.

Ship instantly vents {{soft flux}} equal to {{75%}} of the cost to fire {{all ballistic}} or {{hybrid}} weapons.",
