name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Andross (P),sep_andross_pir_fighter,,Pirate,sep_andross_pirate_launch,,400,100,150,52,100,0,,150,80,80,60,120,45,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5209
Fearless,sep_fearless_fighter,,Separatists,sep_wingsweep,,350,70,300,52,100,0,,350,350,300,150,240,15,PHASE,sep_flarelauncher_sys,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5210
Northstar,sep_northstar_fighter,,Separatists,flarelauncher_fighter,,600,90,400,52,100,0,,300,300,250,210,275,28,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5211
Ripcord,sep_ripcord_fighter,,Separatists,sep_flarelauncher_bomber,,500,120,400,52,120,0,,275,250,150,90,90,30,FRONT,,45,0.1,0.8,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5212
Meteor,sep_meteor_fighter,,Separatists,sep_flarelauncher_bomber,,525,90,500,52,100,0,,160,200,200,60,120,40,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5213
Marguese,sep_marguese_fighter,,Separatists,sep_flarelauncher_bomber,,375,65,500,52,100,0,,140,300,300,120,150,45,FRONT,,60,0.1,1,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5214
Northstar,drg_northstar_fighter,,Dusk Group,flarelauncher_active,,450,75,750,52,120,0,,400,400,300,210,300,25,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5215
Voidwolf,sep_voidwolf_fighter,,Separatists,,,400,60,350,52,50,0,,200,210,180,40,120,35,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5216
Voidwolf,drg_voidwolf_fighter,,Dusk Group,,,375,50,400,52,60,0,,210,240,200,40,120,30,OMNI,,120,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5217
Voidwolf,drg_voidwolf_b_fighter,,Dusk Group,,,375,50,400,52,60,0,,210,240,200,40,120,30,OMNI,,120,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5218
Theseus,sep_repairdrone_fighter,,Separatists,,,500,100,300,52,50,0,,150,75,75,45,120,35,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5219
,nanite_fighter1,Conflation,Nanite,flarelauncher,,400,100,110,52,40,0,,220,350,300,100,210,30,OMNI,,60,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0,,,,5410
,nanite_fighter2,Conflation,Nanite,,,450,75,300,52,70,0,,160,200,200,35,120,40,OMNI,,60,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0,,,,5411
,nanite_fighter3,Conflation,Nanite,,,500,120,250,52,60,0,,180,225,225,45,150,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comet,sep_comet,Corvette,Separatists,sep_flarelauncher_ship,3,1800,375,750,52,100,38,,150,150,100,90,120,180,FRONT,,120,0.2,0.8,,,5,15,40,30,1,30,10,10000,5,12,210,0.25,4,4,,,,,,,,no_dealer,,,,0.3,2,2,,5220
Venom Mk1,sep_venom_mk1,Asteroid Cutter,Separatists,sep_retrograde,4,2000,550,1500,52,100,40,1,120,160,100,90,120,200,FRONT,,120,0.4,0.9,,,20,30,50,25,1,25,9,12000,5,10,240,0.25,5,5,,,,,,,,"sep_ship_bp, merc",,,,0.25,2,2,,5221
Venom Mk2,sep_venom_mk2_true,Asteroid Cutter,Separatists,sep_directionalthrusters,5,2200,575,1750,52,150,65,1,110,150,75,75,90,210,FRONT,,150,0.4,0.9,,,25,30,45,30,1,30,9,13000,5,10,270,0.25,7,7,,,,,,,,sep_ship_bp,,,,0.25,2,2,,5222
Nebula,sep_venom_mk2,Frigate,Separatists,ammofeed,5,1900,500,2000,52,150,60,,135,175,80,75,100,190,OMNI,,150,0.33,0.8,,,30,40,40,25,1,25,10,14000,5,10,210,0.25,6,6,,,,,,,,"sep_ship_mil_bp, merc",,,,0.25,2,2,,5223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellerman,sep_wellerman,Freighter,Separatists,sep_directionalthrusters,6,4000,450,1800,52,125,45,,70,40,30,35,20,400,OMNI,,120,0.66,1,,,25,50,350,60,2,30,8,20000,5,15,360,0.25,4,4,,,,,,,FREIGHTER,"sep_ship_bp,merc",,,,0.25,2,2,,5224
Wellerman (C),sep_wellerman_combat,Combat Freighter,Separatists,maneuveringjets,7,5000,550,3600,52,150,50,1,60,35,25,30,20,425,OMNI,,120,0.5,1,,,40,50,275,60,2,30,8,22000,5,10,390,0.25,6,6,,,,,,,FREIGHTER,"sep_ship_mil_bp,merc",,,,0.25,2,2,,5225
Wellerman (M),sep_wellerman_missile,Missile Destroyer,Separatists,fastmissileracks,9,5000,500,3600,52,150,60,,55,30,25,30,20,425,OMNI,,120,0.5,1,,,50,50,125,40,2,20,8,25000,5,15,300,0.25,9,9,,,,,,,,sep_ship_rare_bp,,,,0.25,2,2,,5226
Safeguard,sep_safeguard,Interdictor Destroyer,Separatists,sep_interdictor,11,5000,700,5000,52,400,80,,90,75,50,45,45,300,OMNI,,120,0.4,0.8,,,25,50,60,100,2,50,9,70000,5,20,300,0.25,12,12,,,,,,,,sep_ship_rare_bp,,,0.75,0.5,2,3,,5227
Safeguard,sep_safeguard_base,Destroyer,Separatists,sep_interdictor_pulse,12,5500,750,5000,52,400,80,,90,75,50,45,45,300,OMNI,,120,0.4,0.8,,,25,50,60,100,2,50,9,70000,5,20,300,0.25,12,12,,,,,,,,sep_ship_mil_bp,,,0.75,0.5,2,3,,5228
Keystone,sep_keystone,Destroyer,Separatists,damper,9,6000,850,4000,52,300,100,,70,40,20,30,20,500,OMNI,,120,0.4,0.8,,,40,90,70,100,2.5,40,9,42000,5,12,420,0.2,8,8,,,,,,,SHIP_WITH_MODULES,sep_ship_bp,,,,0.1,2,2,,5229
Spectre,sep_spectre,ELINT Destroyer,Separatists,sep_spoofjammer,9,4500,650,4000,52,250,100,,80,45,30,40,25,400,OMNI,,90,0.3,0.7,,,70,120,80,50,2,25,9,60000,4,15,360,0.25,9,9,,,,,,,,sep_ship_rare_bp,,,0.75,0.4,2,3,,5230
Specter,sep_spectre_pir,Destroyer,Pirate,damper,9,4000,550,4500,52,300,90,,85,60,40,45,30,400,OMNI,,120,0.5,0.9,,,40,80,90,60,2,30,9,50000,5,12,390,0.2,9,9,,,,,,,,no_dealer,,,0.75,0.3,2,3,,5231
Fencer,sep_fencer,Destroyer,Separatists,ammofeed,12,4000,475,4500,52,300,95,1,85,65,40,40,30,475,OMNI,,120,0.4,0.7,,,60,90,60,40,2,20,9,70000,5,15,390,0.2,11,11,,,,,,,"CARRIER, COMBAT",sep_ship_mil_bp,,,0.8,0.2,2,3,,5231.5
Fencer,sep_fencer_base,Destroyer,Separatists,ammofeed,11,4500,525,4500,52,300,95,,95,75,45,45,35,450,OMNI,,120,0.4,0.7,,,50,90,70,40,2,20,9,70000,5,12,390,0.2,10,10,,,,,,,,sep_ship_mil_bp,,,0.8,0.2,2,3,,5231.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duffie (FCRG),sep_duffie,Light Cruiser,Separatists,sep_directionalthrusters,12,7000,850,7000,52,350,110,1,85,60,55,25,30,700,OMNI,,60,0.2,0.7,,,100,190,140,100,3,33,9,80000,4,12,420,0.25,14,14,,,,,,,"CARRIER, COMBAT",sep_ship_mil_bp,,,,0.5,2,3,,5232
Duffie,sep_duffie_carrier,Light Cruiser,Separatists,sep_directionalthrusters,13,7000,750,7000,52,350,120,2,80,60,55,25,30,700,OMNI,,60,0.2,0.7,,,120,190,140,100,3,33,9,80000,4,12,450,0.25,14,14,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",sep_ship_mil_bp,,,,0.5,2,3,,5233
Grizzly,sep_grizzly,Engineering Cruiser,Separatists,reservewing,11,9000,1250,6000,52,400,130,2,45,35,30,15,20,1400,OMNI,,180,0.4,0.7,,,250,400,400,450,3,150,8,100000,4,12,480,0.2,20,20,,,,,,,"CARRIER, COMBAT",sep_ship_bp,,,,0.25,2,4,,5234
Starmaster,sep_starmaster,Cruiser Hull,Separatists,,8,7500,725,5500,52,300,110,1,65,50,40,25,15,1000,OMNI,,120,0.5,0.9,,,50,200,150,150,3,50,9,50000,5,15,360,0.25,7,7,,,,,,,,rare_bp,,,,0.5,2,4,,5235
Starmaster M102,sep_starmaster_cargo_big,Bulk Freighter,Separatists,flarelauncher,7,7000,700,5000,52,250,100,1,45,30,25,15,15,1600,OMNI,,120,0.5,0.9,,,110,200,1200,160,5,32,8,75000,5,15,300,0.25,10,10,,,,,,,"FREIGHTER,",sep_ship_bp,,,,0.5,2,4,,5236
Starmaster M103,sep_starmaster_cargo,Combat Freighter,Separatists,flarelauncher,10,6000,750,5500,52,250,110,1,50,35,30,20,20,1500,OMNI,,120,0.5,0.9,,,100,200,800,160,4,40,8,80000,5,12,360,0.25,12,12,,,,,,,"FREIGHTER, SHIP_WITH_MODULES",sep_ship_bp,,,,0.5,2,4,,5237
Starmaster M202,sep_starmaster_carrier,Combat Carrier,Separatists,targetingfeed,15,8000,850,6500,52,300,120,4,65,50,40,25,25,1200,OMNI,,120,0.5,0.9,,,200,200,150,120,4,30,8,100000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",sep_ship_bp,,,,0.5,2,4,,5238
Starmaster M301,sep_starmaster_combat,Cruiser,Separatists,burndrive,13,9000,1000,10000,52,450,150,1,60,50,40,25,25,1300,OMNI,,150,0.5,0.9,,,175,200,100,125,5,25,8,100000,4,12,420,0.25,18,18,,,,,,,,sep_ship_bp,,,,0.25,2,4,,5239
Anacreon,sep_anacreon,Missile Cruiser,Separatists,forgevats,15,8000,1000,7000,52,300,145,,60,40,30,15,20,1500,FRONT,,210,0.4,0.8,,,200,300,150,120,4,30,8,125000,4,12,480,0.25,25,25,,,,,,,,sep_ship_rare_bp,,,,0.5,2,4,,5240
Mainstay,sep_mainstay,Cruiser,Separatists,sep_citadelmode,14,11000,1200,10000,52,500,160,,35,20,15,15,15,2000,FRONT,,210,0.3,0.9,,,200,300,150,150,5,30,7,125000,4,12,540,0.25,25,25,,,,,,,SHIP_WITH_MODULES,sep_ship_bp,,,,0.4,2,3,,5241
Arbiter,sep_arbiter,Battlecruiser,Separatists,sep_secondaryloader,16,12000,1250,10000,52,600,170,,60,25,15,12,12,2100,FRONT,,240,0.4,0.8,,,250,350,200,200,5,40,8,125000,4,15,540,0.25,30,30,,,,,,,,sep_ship_mil_bp,,,0.8,0.25,2,4,,5242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 26,sep_ship26,Command Ship,Separatists,sep_defense_drones,30,17000,1500,13000,52,500,260,,35,35,25,6,6,3000,FRONT,,270,0.5,0.9,,,500,600,600,600,15,40,6,400000,4,12,660,0.5,40,40,,,,,,,,sep_ship_mil_bp,,,0.5,0.5,2,4,,5243
Independence,sep_independence,Battleship,Separatists,sep_secondaryloader,34,19000,1600,16000,52,600,330,2,30,25,20,5,5,3800,OMNI,,120,0.4,0.9,,,600,1200,400,400,15,27,7,400000,3,12,720,0.25,45,45,,,,,,,,sep_ship_rare_bp,,,,0.4,2,4,,5244
Shomitraile,sep_shomitraile,Battlecruiser,Separatists,combat_burn,28,14000,1300,15000,52,600,300,,40,40,25,6,6,2800,FRONT,,90,0.3,0.8,,,400,500,350,300,10,30,8,400000,3,10,600,0.25,35,35,,,,,,,,sep_ship_mil_bp,,,0.75,0.6,2,4,,5245
Overlord,sep_overlord,Super Carrier,Separatists,sep_directionalthrusters,32,15000,1300,10000,52,500,330,8,25,20,15,6,6,5000,OMNI,,120,0.4,0.9,,,600,1000,300,300,10,30,6,500000,3,15,600,0.25,55,55,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","codex_unlockable, no_dealer",,,,0.4,2,4,,5246
Speedwell,sep_speedwell,Super Carrier,Separatists,forgevats,36,19000,1400,12000,52,600,300,6,45,30,25,8,6,4500,OMNI,,120,0.4,0.8,,,500,1500,600,500,10,50,7,375000,4,10,720,0.25,50,50,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX",no_dealer,,,,0.4,2,4,,5247
Speedwell,sep_speedwell2,Super Carrier,Separatists,forgevats,36,19000,1400,12000,52,600,300,6,45,30,25,8,6,4500,OMNI,,120,0.4,0.8,,,500,1500,600,500,10,50,7,375000,4,10,720,0.25,50,50,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT","codex_unlockable, no_dealer",,,,0.4,2,4,,5248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shard,drg_shard,Courier,Dusk Group,drg_cryogenicdischarge,2,1200,250,2000,52,200,25,,150,150,100,90,120,100,OMNI,,90,0.3,0.8,,,25,50,100,30,1,30,10,20000,10,10,180,0.2,3,3,,,,,,,"FREIGHTER, CIVILIAN",drg_ship_bp,,,0.75,0.5,2,4,,5300
Boltzman,drg_boltzman,Entropic Destroyer,Dusk Group,drg_entropic_lash,12,4000,600,5000,52,400,80,,105,75,50,45,45,300,OMNI,,150,0.4,0.7,,,25,50,60,100,2,50,9,120000,5,20,300,0.25,11,11,,,,,,,,drg_ship_bp,,,0.75,0.5,2,3,,5301
Amp,drg_amp,Phase Destroyer,Dusk Group,emp,11,3500,600,5000,52,500,80,,150,100,90,50,100,250,PHASE,drg_linearphasecloak,90,,,0.02,0.075,20,25,40,60,2,30,9,80000,10,30,270,0.25,14,14,,,,,,,PHASE,rare_bp,,,,0.5,2,2,,5302
Hydra,drg_hydra,Experimental Destroyer,Dusk Group,drg_entanglement,14,4000,650,4500,52,350,85,,90,75,50,40,40,420,OMNI,,150,0.5,0.8,,,80,120,75,40,2,20,9,150000,4,30,300,0.25,17,17,,,,,,,,rare_bp,,,0.25,0.75,2,2,,5303
Hydra,drg_hydra_clone,Ethereal Destroyer,Dusk Group,displacer,8,4000,650,4500,52,200,85,,90,70,45,30,30,420,OMNI,,150,0.5,0.8,,,80,120,75,40,2,20,9,150000,4,30,300,0.25,17,17,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, NO_NEURAL_LINK","no_battle_salvage, no_dealer",,,,,,,,
Manta,drg_manta,Experimental Cruiser,Dusk Group,displacer,15,4500,500,10000,52,550,140,,80,110,90,35,75,800,OMNI,,180,0.3,0.6,,,60,100,50,75,3,25,9,100000,3,15,360,0.25,18,18,,,,,,,,drg_ship_bp,,,,0.6,2,3,,5304
Observer,drg_observer,Advanced Cruiser,Dusk Group,microburn,14,7000,750,9000,52,650,150,,70,35,25,25,20,1000,FRONT,,240,0.4,0.6,,,90,150,100,75,3,25,9,150000,4,12,420,0.25,20,20,,,,,,,,drg_ship_bp,,,,0.4,2,4,,5305
Glacier,drg_glacier,Cryogenic Cruiser,Dusk Group,microburn,16,10000,1200,11000,52,700,170,,45,30,25,18,18,1750,OMNI,,150,0.4,0.8,,,200,250,100,100,4,25,8,150000,4,12,420,0.25,22,22,,,,,,,,drg_ship_bp,,,0.25,0.5,2,4,,5306
Seraph,drg_seraph,Cryogenic Battlecruiser,Dusk Group,drg_cryogenicdischarge,40,15000,1500,15000,52,1200,300,,40,25,15,20,20,2200,FRONT,,240,0.4,0.7,,,400,500,300,350,10,35,7,500000,4,20,540,0.25,50,50,,,,,,,,"codex_unlockable, no_dealer",,,0.25,0.4,2,3,,5307
Seraph,drg_seraph_base,Cryogenic Battlecruiser,Dusk Group,drg_cryogenicdischarge,38,16000,1600,15000,52,1200,340,,40,25,15,20,20,2200,FRONT,,240,0.4,0.7,,,400,500,300,350,10,35,7,500000,4,20,660,0.25,50,50,,,,,,,,"codex_unlockable, rare_bp",,,0.25,0.4,2,3,,5307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starmaster Armored Bow,sep_starmaster_armor,Armored Bow,Separatists,,1,5000,1500,500,52,100,15,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,,1,2,4,,5248
Mainstay Aft Armor,sep_mainstay_aft_armor,Armored Platform,Separatists,,2,5000,1200,500,52,100,16,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,,1,2,4,,5249
Mainstay Fore Armor,sep_mainstay_fore_armor,Armored Platform,Separatists,,1,3000,1000,500,52,100,9,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,,1,2,4,,5250
Keystone,sep_keystone_armor,Armored Bow,Separatists,,1,2500,900,100,52,100,0,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,,,1,2,4,,5251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,sep_station_small,Orbital Station,Separatists,,110,40000,1600,1000,52,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,55,55,,,,,,,"STATION, UNBOARDABLE",,,,,0,,,,5252
Battlestation,sep_station_medium,Orbital Station,Separatists,,210,80000,2000,1000,52,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,80,80,,,,,,,"STATION, UNBOARDABLE",,,,,0,,,,5253
Star Fortress,sep_station_big,Orbital Station,Separatists,sep_station_defense_drones,420,160000,2400,1000,52,100,0,,30,200,200,4,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,110,80,,,,,,,"STATION, UNBOARDABLE",,,,,0,,,,5254
,sep_station_small_module,Support Module,Separatists,forgevats_station,1,14000,1500,10000,52,400,1000,4,0,0,0,10,10,2500,FRONT,,140,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5255
,sep_station_small_module2,Heavy Gunnery Module,Separatists,forgevats_station,1,18000,1800,20000,52,1000,1000,,0,0,0,10,10,2500,FRONT,,120,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5256
,sep_station_small_module3,Advanced Module,Separatists,sep_interdictor_station,1,16000,1600,15000,52,700,1000,2,0,0,0,10,10,2500,FRONT,,160,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,4,,5257
,sep_station_med_module_pd1,PD Node,Separatists,forgevats_station,1,8000,1300,7000,52,300,1000,,0,0,0,10,10,240,FRONT,,240,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,2,,5258
,sep_station_med_module_gun,Combat Node,Separatists,forgevats_station,1,15000,2000,30000,52,1750,1000,,0,0,0,10,10,1000,FRONT,,180,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,4,,5259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nanite_des1,Coalescence,Nanite,ammofeed,13,5000,900,3500,52,250,110,,75,45,40,25,25,500,OMNI,,90,0.5,1.2,,,0,0,80,75,3,25,8,20000,4,10,390,0.25,10,10,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.4,2,6,,5400
,nanite_des2,Coalescence,Nanite,maneuveringjets,13,3500,700,5000,52,300,100,,110,80,60,30,30,400,FRONT,,120,0.4,1,,,0,0,150,120,3,40,8,20000,4,10,330,0.25,12,12,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.45,2,6,,5401
,nanite_des3,Coalescence,Nanite,emp,14,6000,800,4000,52,200,90,,60,30,30,20,20,600,OMNI,,60,0.4,1,,,0,0,100,90,3,30,8,20000,4,10,360,0.25,11,11,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.4,2,6,,5402
,nanite_cru1,Amalgamation,Nanite,burndrive,15,11000,1300,7000,52,350,160,1,45,20,20,15,20,2000,OMNI,,60,0.5,1.2,,,0,0,120,120,5,24,8,50000,4,10,510,0.25,25,25,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.35,2,6,,5403
,nanite_cru2,Amalgamation,Nanite,burndrive,18,14000,1500,9000,52,450,180,1,40,20,20,15,15,2100,FRONT,,120,0.5,1.2,,,0,0,150,150,5,30,8,50000,4,10,540,0.25,25,25,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.35,2,6,,5404
,nanite_cap1,Integration,Nanite,damper,28,10000,1300,10000,52,700,160,1,50,30,30,25,25,1800,PHASE,phasecloak,90,,,0.04,0.03,0,0,100,200,5,40,8,50000,4,10,510,0.25,35,35,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.3,2,6,,5405
,nanite_cap2,Integration,Nanite,displacer,36,17000,1600,22000,52,1100,340,2,30,15,15,10,15,4000,OMNI,,150,0.4,1,,,0,0,300,300,10,30,7,70000,4,10,660,0.25,50,50,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.3,2,6,,5406
,nanite_cap3,Unification,Nanite,burndrive,40,22000,1900,17000,52,900,360,5,25,15,15,10,10,5000,FRONT,,120,0.5,1.2,,,0,0,300,400,15,27,7,70000,4,10,720,0.25,55,55,,,,,,,"UNBOARDABLE, NO_NEURAL_LINK","codex_unlockable, limited_tooltip_if_locked, no_dealer, contractor_nanite",,,,0.25,2,6,,5407
