name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Command Relay,contractor_commandrelay,5,,Separatists,codex_require_related,Special,,,TRUE,,0,0,0,0,contractor.data.hullmods.OperationsRelay,"Specialized relays and senior staff to ease the burden of command operations, even at range. Increases the command point recovery rate by %s when ship is deployed.",Increases the command point recovery rate.,,graphics/hullmods/high_res_sensors.png
,,,,,,,,,,,,,,,,,,,
Low Emission Reactor,drg_lereactor,1,,Dusk Group,"logistics, special, req_spaceport","Logistics, Special, Requires Dock",15000,,,,1,2,4,5,contractor.data.hullmods.LowEmissions,In hullmod,Reduces DP,Reduces all maluses to %s.,graphics/hullmods/drg_lereactor.png
High Emission Reactor,drg_hereactor,3,,Dusk Group,"special, req_spaceport","Special, Requires Dock",15000,,,,3,8,12,25,contractor.data.hullmods.HighEmissions,In hullmod,Boosts stats.,Reduces sensor malus to %s. Reduces supply and fuel malus to %s.,graphics/hullmods/drg_hereactor.png
,,,,,,,,,,,,,,,,,,,
Bio-armor,contractor_bioarmor,2,,Nanite,"defensive, req_spaceport, no_drop, no_drop_salvage, codex_unlockable","Defenses, Requires Dock",10000,,,,4,8,12,20,contractor.data.hullmods.BioArmor,In hullmod,Armor heals over time.,Reduces armor penalty to %s.,graphics/hullmods/drg_biometal.png
Repair Nanites,contractor_repairnanites,2,,Nanite,"defensive, req_spaceport, no_drop, no_drop_salvage, codex_unlockable","Defenses, Requires Dock",10000,,,,5,10,15,30,contractor.data.hullmods.RepairNanites,In hullmod,Hull heals over time.,,graphics/hullmods/drg_biometal.png
Nanite Forges,contractor_naniteforges,2,,Nanite,"offensive, req_spaceport, no_drop, no_drop_salvage, codex_unlockable","Weapons, Requires Dock",10000,,,,5,10,15,30,contractor.data.hullmods.NaniteForges,In hullmod,Ammo regenerates over time.,,graphics/hullmods/drg_biometal.png
Entangled,entangled_mod,5,,Dusk Group,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.EntangledMod,"Ship is an ethereal copy entangled to its parent vessel, and leaves a trail of energy connecting the two. Additionally, flux vent rate increases by %s when above %s flux, at the expense of generating %s to the parent ship.",Ship is a temporary copy.,,graphics/hullmods/augmented_drive_field.png
Linear Phase Coils,drg_linearphasecoil,5,,Dusk Group,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.DrgLinearPhaseCoil,"Ship is equipped with an experimental Linear Phase Coil. In general, ships with Linear Phase Coils make more shallow dives into p-space than traditional phase coils, boosting their speed, but are less efficient.

The max phased speed reduction is %s at %s hard flux, and the time flow boost is %s normal time.

Additionally, their inefficient nature means the coils cannot be run for extended periods of time. However, emissions are reduced and the ships sensor profile is lowered by %s.",Reduces ship sensor profile.,,graphics/hullmods/phase_field.png
Exacting Specifications,contractor_exacting_specifications,0,,,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.ExactingSpecifications,"The ship systems have been tightly constructed to maximize its design performance. However, the delicate balance means core components can not be safely modified.",Bocks certain hullmods.,,graphics/hullmods/hardened_subsystems.png
Stressed Manufactory,contractor_stressed_manufactory,0,,,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.StressedManufactory,In hullmod,Reduces fighter replacement rate.,,graphics/hullmods/defective_manufactory.png
Stressed Command Net,contractor_stressed_command,0,,,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.StressedCommandNet,"Controlling large numbers of craft requires an extensive command net, which slows the speed that orders are passed down the chain. Reduces the command point recovery rate by %s when ship is deployed.",Reduces the command point recovery rate.,,graphics/hullmods/sep_prototype.png
Prototype Hull,contractor_prototypehull,0,,,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.PrototypeHull,"Ships hull design has not been finalized and lacks certain optimizations. Weapons and engines are more likely to %s when combat readiness is stressed, and weapons have %s less health.",Weapon and engines more likely to malfunction.,,graphics/hullmods/sep_prototype.png
Advanced Point Defense AI,contractor_advancedpd,0,,Dusk Group,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.AdvancedPointDefense,"Gives all point-defense weapons the ability to identify - and ignore - decoy flares. In addition, all point-defense weapons get the best possible target leading, regardless of combat readiness, and all damage to missiles is increased by %s. All small non-missile, non-strike weapons are classified as ""point-defense"", automatically target missiles, are affected by point-defense stat modifiers, and beam weapons turn %s faster.","PD ignores decoy flares, improved target leading, more damage to missiles, all small weapons target missiles.",,graphics/hullmods/drg_advanced_point_defense_ai.png
Stealth Plating,contractor_stealthplating,0,,,"codex_require_related, no_drop, no_drop_salvage",,,,,,0,0,0,0,contractor.data.hullmods.StealthPlating,In hullmod,"Reduces ship sensor profile, but slightly increases beam damage taken.",Reduces sensor profile by %s.,graphics/hullmods/contractor_stealthplating.png
Stabilized Bolt Coherer,contractor_ebc,0,,Dusk Group,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.DrgEBC,In hullmod,Slightly increases energy weapon range.,,graphics/hullmods/contractor_ebc.png
Exposed Flight Deck,contractor_exposeddeck,0,,,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.ExposedFlightDeck,"A large portion of the ships flight deck is exposed to space, increasing risk of crew casualties by %s if %s is occupied.

Further more, should the ship suffer damage, the maximum fighter replacement rate will decrease according to the damage sustained, bottoming out at %s when almost destroyed.",Increases crew lost to damage as well as fighter readiness.,,graphics/hullmods/contractor_exposedhangar.png
Nanite Hull,contractor_nanite_hull,0,,Nanite,codex_require_related,,,,TRUE,,0,0,0,0,contractor.data.hullmods.NaniteHullmod,In hullmod,,,graphics/hullmods/drg_biometal.png
